Code,Year,Emissions-Transfers
LKA,1991,-0.652
LKA,1992,-0.653
LKA,1993,-0.744
LKA,1994,-0.798
LKA,1995,-0.886
LKA,1996,-0.909
LKA,1997,-0.734
LKA,1998,-0.950
LKA,1999,-1.450
LKA,2000,-1.280
LKA,2001,-1.495
LKA,2002,-1.774
LKA,2003,-1.605
LKA,2004,-1.578
LKA,2005,-1.857
LKA,2006,-1.738
LKA,2007,-1.612
LKA,2008,-2.118
LKA,2009,-1.895
LKA,2010,-2.132
LKA,2011,-2.933
LKA,2012,-3.138
LKA,2013,-3.228
LKA,2014,-3.232
LKA,2015,-2.998
LKA,2016,-2.893
LKA,2017,-2.948
LTU,1990,-1.842
LTU,1991,-3.666
LTU,1992,-3.673
LTU,1993,-2.258
LTU,1994,-2.843
LTU,1995,-3.203
LTU,1996,-2.158
LTU,1997,-1.941
LTU,1998,-1.397
LTU,1999,-1.344
LTU,2000,-1.330
LTU,2001,-1.236
LTU,2002,-2.234
LTU,2003,-2.046
LTU,2004,-1.949
LTU,2005,-1.823
LTU,2006,-2.455
LTU,2007,-2.456
LTU,2008,-2.355
LTU,2009,-2.118
LTU,2010,-1.927
LTU,2011,-2.588
LTU,2012,-2.192
LTU,2013,-2.411
LTU,2014,-2.412
LTU,2015,-2.498
LTU,2016,-2.583
LTU,2017,-2.611
LUX,1990,0.000
LUX,1991,0.000
LUX,1992,0.000
LUX,1993,0.000
LUX,1994,0.000
LUX,1995,0.000
LUX,1996,0.000
LUX,1997,0.000
LUX,1998,0.000
LUX,1999,0.056
LUX,2000,0.425
LUX,2001,0.412
LUX,2002,0.438
LUX,2003,0.055
LUX,2004,-0.166
LUX,2005,-0.424
LUX,2006,-1.235
LUX,2007,0.127
LUX,2008,-3.512
LUX,2009,-3.954
LUX,2010,-3.572
LUX,2011,0.209
LUX,2012,-3.488
LUX,2013,-3.562
LUX,2014,-3.496
LUX,2015,-3.838
LUX,2016,-3.814
LUX,2017,-3.904
LVA,1990,-0.837
LVA,1991,-1.214
